Vehicle_ID,Mileage_km,Engine_Temp_C,Oil_Level_%,Brake_Pad_mm,Tire_Pressure_PSI,Battery_Voltage,Last_Service_Days
VEH0001,126958,76,6,10.9,33,13.5,122
VEH0002,151867,91,94,5.3,36,13.9,196
VEH0003,136932,97,21,1.1,38,11.8,241
VEH0004,108694,71,37,11.0,26,13.7,236
VEH0005,124879,111,13,2.0,41,10.9,107
VEH0006,115268,114,47,4.5,38,13.8,64
VEH0007,212892,75,52,11.5,37,11.0,120
VEH0008,59886,97,43,11.5,33,12.0,161
VEH0009,142337,97,97,7.3,39,13.6,255
VEH0010,218458,113,46,8.0,39,11.1,78
VEH0011,173266,113,30,5.9,35,11.4,298
VEH0012,92498,89,54,4.2,40,13.3,259
VEH0013,117727,99,29,4.6,41,13.3,45
VEH0014,131324,80,28,8.4,28,13.0,248
VEH0015,180203,97,17,9.3,25,13.2,157
VEH0016,196335,94,64,9.7,32,12.6,236
VEH0017,21023,108,11,9.7,41,11.5,253
VEH0018,46090,102,61,2.0,27,11.8,210
VEH0019,72221,70,40,6.4,39,11.2,163
VEH0020,69820,96,49,1.6,39,14.0,82
VEH0021,5769,82,24,7.0,38,12.8,210
VEH0022,64735,110,69,5.9,38,12.1,26
VEH0023,199027,72,12,10.8,26,12.3,138
VEH0024,69925,108,20,4.9,37,14.2,226
VEH0025,204041,75,18,2.3,38,11.1,70
VEH0026,10311,77,80,2.6,43,12.8,113
VEH0027,108355,96,91,9.4,31,12.5,51
VEH0028,240796,78,19,7.8,27,12.9,34
VEH0029,219176,106,96,2.1,39,10.6,48
VEH0030,189779,102,70,1.9,38,13.9,140
VEH0031,90305,111,36,8.7,35,14.1,238
VEH0032,164765,113,91,1.8,39,12.7,117
VEH0033,208004,93,67,10.0,37,13.2,181
VEH0034,229088,84,90,8.8,42,14.1,111
VEH0035,135608,101,55,1.9,30,13.3,21
VEH0036,243042,101,29,1.9,27,11.1,284
VEH0037,161730,93,62,11.9,43,12.7,110
VEH0038,89478,110,67,5.1,39,12.9,53
VEH0039,127537,81,66,5.1,29,12.2,26
VEH0040,154503,108,26,9.9,34,13.4,66
VEH0041,135523,71,62,11.4,31,14.1,21
